,hhid,hhwgt,urban,inc_employ,inc_commerce,inc_subsist,inc_remit,inc_transfer,inc_gift,inc_rent,inc_total,food_cons,total_cons,poor_nat,poor_190,poor_320,poor_550,dep_water,dep_san,dep_ele,dep_enroll,dep_attain,hhsize,number_of_children,pcexp,pcinc,ispoor,hoh_mainactivity,hoh_education,hhinc_mainsource_all,hhinc_mainsource_wage_other,inc_nonwage,pcwgt,pov_line
0,00-00-70-90,134.0899200439453,1,18069.568359375,1327.304931640625,247.108154296875,0.0,983.1888427734375,6628.46240234375,2678.010498046875,29933.64453125,15865.83203125,26142.986328125,0,0,0,0,0,0,0,0,0,4,0,6535.74658203125,7483.4111328125,0,Self employment/subsistence,At least some secondary completion,inc_employ,inc_employ,11864.074829101562,536.3596801757812,2179
1,00-02-22-68,74.4085464477539,1,7019.91552734375,0.0,0.0,146.7373504638672,855.968017578125,0.0,2650.223876953125,10672.8447265625,1257.0989990234375,4805.11181640625,0,0,0,0,0,0,0,0,1,2,0,2402.555908203125,5336.42236328125,0,Not working,Primary completion and below,inc_employ,inc_employ,3652.929244995117,148.8170928955078,2179
2,00-02-42-45,219.12611389160156,0,0.0,1404.693359375,3628.790771484375,0.0,3805.458251953125,3195.677490234375,1911.129638671875,13945.7490234375,8257.5126953125,12909.1474609375,0,0,0,0,0,1,1,0,1,6,5,2151.5245768229165,2324.29150390625,0,Self employment/subsistence,Primary completion and below,inc_transfer,other,13945.74951171875,1314.7566833496094,2179
3,00-07-57-56,187.84483337402344,1,31903.30859375,0.0,0.0,0.0,3052.13720703125,0.0,2333.311767578125,37288.7578125,3150.48388671875,10489.7265625,0,0,0,1,0,0,0,0,0,6,3,1748.2877604166667,6214.79296875,0,Wage employment,Primary completion and below,inc_employ,inc_employ,5385.448974609375,1127.0690002441406,2179
4,00-08-08-75,172.652587890625,1,11422.0517578125,673.5062255859375,0.0,4783.42431640625,8786.1943359375,895.45703125,2887.676025390625,29448.30859375,3408.492431640625,12027.208984375,0,0,0,1,0,0,0,0,0,6,1,2004.5348307291667,4908.051432291667,0,Wage employment,At least some secondary completion,inc_employ,inc_employ,18026.257934570312,1035.91552734375,2179
5,00-10-36-32,157.60256958007812,1,16977.1796875,0.0,46.86533737182617,0.0,169.60008239746094,852.0970458984375,0.0,18045.744140625,2850.264404296875,8321.970703125,0,0,0,0,0,1,0,0,0,4,1,2080.49267578125,4511.43603515625,0,Wage employment,At least some secondary completion,inc_employ,inc_employ,1068.5624656677246,630.4102783203125,2179
6,00-10-36-74,144.95452880859375,1,33732.265625,0.0,0.0,229.60438537597656,298.4856872558594,0.0,3219.675048828125,37480.03125,4674.28564453125,13085.7509765625,0,0,0,0,0,0,0,0,0,5,0,2617.1501953125,7496.00625,0,Not working,At least some secondary completion,inc_employ,inc_employ,3747.765121459961,724.7726440429688,2179
7,00-13-79-68,177.2755584716797,0,20107.96484375,787.431884765625,0.0,0.0,647.10546875,0.0,3636.973388671875,25179.474609375,499.18206787109375,3678.832275390625,1,1,1,1,0,0,0,0,0,6,2,613.1387125651041,4196.5791015625,0,Wage employment,Primary completion and below,inc_employ,inc_employ,5071.5107421875,1063.6533508300781,2179
8,00-14-08-11,354.33392333984375,0,19894.1640625,0.0,245.24363708496094,0.0,2629.7666015625,0.0,1423.98779296875,24193.162109375,3115.6611328125,8508.611328125,1,0,1,1,0,0,1,0,0,11,7,773.5101207386364,2199.3783735795455,0,Wage employment,At least some secondary completion,inc_employ,inc_employ,4298.998031616211,3897.6731567382812,2179
9,00-15-13-16,206.89553833007812,0,8488.7001953125,594.215576171875,1974.1163330078125,0.0,1280.86474609375,0.0,782.4006958007812,13120.2978515625,5264.23876953125,9387.4052734375,0,0,0,1,0,0,0,0,0,6,3,1564.5675455729167,2186.71630859375,0,Wage employment,At least some secondary completion,inc_employ,inc_employ,4631.597351074219,1241.3732299804688,2179
